,CountryCode,1995_dep,1996_dep,1997_dep,1998_dep,1999_dep,2000_dep,2001_dep,2002_dep,2003_dep,2004_dep,2005_dep,2006_dep,2007_dep,2008_dep,2009_dep,2010_dep,2011_dep,2012_dep,2013_dep,2014_dep,2015_dep,2016_dep,2017_dep,2018_dep,CountryName,1995_pop,1996_pop,1997_pop,1998_pop,1999_pop,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,CountryCode2
0,ABW,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,105845.0,,,,,,,,,,,,,,,,,,,,,,,,,AW
1,AFG,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383128.0,36296400.0,37172386.0,,,,,,,,,,,,,,,,,,,,,,,,,AF
2,AGO,3000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,Angola,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,30809762.0,0.00021512769334493874,0.0002083229316536209,,,,,,,,,,,,,,,,,,,,,,,AO
3,ALB,,,,,,,955000.0,1303000.0,1350000.0,1694000.0,2097000.0,2616000.0,2979000.0,3716000.0,3404000.0,3443000.0,4120000.0,3959000.0,3928000.0,4146000.0,4504000.0,4852000.0,5186000.0,5415000.0,Albania,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,,,,,,,0.31207385987654945,0.42707169101379544,0.4441350486377227,0.5596412745681363,0.6963337381167509,0.8741717339777788,1.0030245618122724,1.2608089942232148,1.1627593194100534,1.1819344934348224,1.4181492120150283,1.3649836694994932,1.356778990097724,1.4350469903471803,1.5635072411144086,1.6870061239156762,1.8047947124317503,1.8891450388923157,AL
4,AND,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80993.0,82684.0,83862.0,84463.0,84449.0,83747.0,82427.0,80774.0,79213.0,78011.0,77297.0,77001.0,77006.0,,,,,,,,,,,,,,,,,,,,,,,,,AD
5,ARE,,,,,,,,,,,,,,,,,,,,,,,,18904000.0,United Arab Emirates,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,9630959.0,,,,,,,,,,,,,,,,,,,,,,,,1.9628367226981238,AE
6,ARG,3815000.0,4296000.0,4517000.0,4592000.0,4786000.0,4953000.0,4762000.0,3008000.0,3088000.0,3904000.0,3894000.0,3892000.0,4167000.0,4614000.0,4981000.0,5307000.0,6686000.0,7266000.0,6746000.0,6517000.0,7807000.0,10417000.0,12213000.0,11130000.0,Argentina,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,0.10953776784711916,0.12188487814377728,0.12667766932944044,0.1273311026543516,0.1312411602113438,0.13433399184020672,0.12775095121072597,0.07982644330017696,0.08107568530745801,0.10142374622947352,0.10012102199240268,0.09905859213917641,0.10500375526388965,0.1151193009209544,0.12303994477850685,0.13011035255492528,0.16203971305931997,0.17410569135594475,0.15984670260492545,0.1527320451376276,0.1810026466217654,0.23897481205022172,0.27728578515185365,0.25014326489146904,AR
7,ARM,,,,,,111000.0,110000.0,131000.0,169000.0,221000.0,269000.0,329000.0,468000.0,516000.0,526000.0,563000.0,715000.0,965000.0,1083000.0,1198000.0,1187000.0,1263000.0,1482000.0,1623000.0,Armenia,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,2951776.0,,,,,,0.03616116935448403,0.03605745197721038,0.0431776367528044,0.05599861096936578,0.07364899090884855,0.0902300329155135,0.11121225755136299,0.15958437137056378,0.1774648526732191,0.1821271621541142,0.19566825923715792,0.24856268194614498,0.3345781489611262,0.37375965632057606,0.4113441718058936,0.4057352575735254,0.43015572113920764,0.5032584456241475,0.5498384701278146,AM
8,ASM,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,53161.0,54211.0,55221.0,56171.0,57053.0,57821.0,58494.0,59080.0,59504.0,59681.0,59562.0,59107.0,58365.0,57492.0,56683.0,56079.0,55759.0,55667.0,55713.0,55791.0,55812.0,55741.0,55620.0,55465.0,,,,,,,,,,,,,,,,,,,,,,,,,AS
9,ATG,,,,,,,,,,,,,,,,,,,,,,,,,Antigua and Barbuda,68670.0,70173.0,71704.0,73224.0,74674.0,76016.0,77212.0,78295.0,79300.0,80336.0,81465.0,82704.0,84026.0,85397.0,86746.0,88028.0,89253.0,90409.0,91516.0,92562.0,93566.0,94527.0,95426.0,96286.0,,,,,,,,,,,,,,,,,,,,,,,,,AG
